Data Supplied By: National Livestock Reporting Service,,,
Data source: Australian Bureau of Statistics,,,
,,,
Please see terms of use here: https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/minlrs-information-brochures-etc/mla-market-reports-data-and-information-terms-of-use.pdf,,,
,,,
Quarterly,Category,Average Value,Units
31/03/2016 0:00,Lamb,1429.409143,AUD c/kg
31/03/2016 0:00,Pork,1209.856673,AUD c/kg
30/06/2016 0:00,Beef,1915.754247,AUD c/kg
30/06/2016 0:00,Chicken,531.4684231,AUD c/kg
30/06/2016 0:00,Lamb,1440.9024,AUD c/kg
30/06/2016 0:00,Pork,1198.421576,AUD c/kg
30/09/2016 0:00,Beef,1934.893168,AUD c/kg
30/09/2016 0:00,Chicken,529.6738718,AUD c/kg
30/09/2016 0:00,Lamb,1482.7596,AUD c/kg
30/09/2016 0:00,Pork,1185.352895,AUD c/kg
31/12/2016 0:00,Beef,1938.073371,AUD c/kg
31/12/2016 0:00,Chicken,532.3270321,AUD c/kg
31/12/2016 0:00,Lamb,1458.953371,AUD c/kg
31/12/2016 0:00,Pork,1204.584403,AUD c/kg
31/03/2017 0:00,Beef,1919.454909,AUD c/kg
31/03/2017 0:00,Chicken,537.6503025,AUD c/kg
31/03/2017 0:00,Lamb,1449.4792,AUD c/kg
31/03/2017 0:00,Pork,1201.38292,AUD c/kg
30/06/2017 0:00,Beef,1926.050687,AUD c/kg
30/06/2017 0:00,Chicken,531.7099565,AUD c/kg
30/06/2017 0:00,Lamb,1501.7856,AUD c/kg
30/06/2017 0:00,Pork,1165.714336,AUD c/kg
30/09/2017 0:00,Beef,1928.4008,AUD c/kg
30/09/2017 0:00,Chicken,531.2655561,AUD c/kg
30/09/2017 0:00,Lamb,1495.365943,AUD c/kg
30/09/2017 0:00,Pork,1172.062381,AUD c/kg
31/12/2017 0:00,Beef,1931.876493,AUD c/kg
31/12/2017 0:00,Chicken,538.1741546,AUD c/kg
31/12/2017 0:00,Lamb,1501.601524,AUD c/kg
31/12/2017 0:00,Pork,1177.473565,AUD c/kg
31/03/2018 0:00,Beef,1951.985422,AUD c/kg
31/03/2018 0:00,Chicken,540.8442647,AUD c/kg
31/03/2018 0:00,Lamb,1501.371429,AUD c/kg
31/03/2018 0:00,Pork,1182.884749,AUD c/kg
30/06/2018 0:00,Beef,1918.041748,AUD c/kg
30/06/2018 0:00,Chicken,539.1794847,AUD c/kg
30/06/2018 0:00,Lamb,1532.900229,AUD c/kg
30/06/2018 0:00,Pork,1170.560172,AUD c/kg
30/09/2018 0:00,Beef,1930.617946,AUD c/kg
30/09/2018 0:00,Chicken,541.3697059,AUD c/kg
30/09/2018 0:00,Lamb,1563.669714,AUD c/kg
30/09/2018 0:00,Pork,1160.003787,AUD c/kg
31/12/2018 0:00,Beef,1967.7909,AUD c/kg
31/12/2018 0:00,Chicken,546.713,AUD c/kg
31/12/2018 0:00,Lamb,1669.4976,AUD c/kg
31/12/2018 0:00,Pork,1170.2382,AUD c/kg
31/03/2019 0:00,Beef,2025.284803,AUD c/kg
31/03/2019 0:00,Chicken,562.4477753,AUD c/kg
31/03/2019 0:00,Lamb,1731.39428,AUD c/kg
31/03/2019 0:00,Pork,1179.933353,AUD c/kg
30/06/2019 0:00,Beef,2033.514783,AUD c/kg
30/06/2019 0:00,Chicken,561.3609382,AUD c/kg
30/06/2019 0:00,Lamb,1740.113398,AUD c/kg
30/06/2019 0:00,Pork,1183.801506,AUD c/kg
30/09/2019 0:00,Beef,2067.707158,AUD c/kg
30/09/2019 0:00,Chicken,569.2865871,AUD c/kg
30/09/2019 0:00,Lamb,1785.326837,AUD c/kg
30/09/2019 0:00,Pork,1205.977701,AUD c/kg
31/12/2019 0:00,Beef,2128.696831,AUD c/kg
31/12/2019 0:00,Chicken,564.2469887,AUD c/kg
31/12/2019 0:00,Lamb,1768.24237,AUD c/kg
31/12/2019 0:00,Pork,1262.792825,AUD c/kg
31/03/2020 0:00,Beef,2203.518066,AUD c/kg
31/03/2020 0:00,Chicken,569.1515269,AUD c/kg
31/03/2020 0:00,Lamb,1818.374064,AUD c/kg
31/03/2020 0:00,Pork,1280.865028,AUD c/kg
30/06/2020 0:00,Beef,2178.981191,AUD c/kg
30/06/2020 0:00,Chicken,561.9695034,AUD c/kg
30/06/2020 0:00,Lamb,1822.817752,AUD c/kg
30/06/2020 0:00,Pork,1297.055923,AUD c/kg
30/09/2020 0:00,Beef,2235.119149,AUD c/kg
30/09/2020 0:00,Chicken,570.9475624,AUD c/kg
30/09/2020 0:00,Lamb,1841.728589,AUD c/kg
30/09/2020 0:00,Pork,1299.156916,AUD c/kg
31/12/2020 0:00,Beef,2302.755579,AUD c/kg
31/12/2020 0:00,Chicken,564.1087507,AUD c/kg
31/12/2020 0:00,Lamb,1794.291868,AUD c/kg
31/12/2020 0:00,Pork,1303.693812,AUD c/kg
31/03/2021 0:00,Beef,2387.348272,AUD c/kg
31/03/2021 0:00,Chicken,568.0233772,AUD c/kg
31/03/2021 0:00,Lamb,1848.57388,AUD c/kg
31/03/2021 0:00,Pork,1305.406052,AUD c/kg
30/06/2021 0:00,Beef,2473.143845,AUD c/kg
30/06/2021 0:00,Chicken,564.9434755,AUD c/kg
30/06/2021 0:00,Lamb,1856.776726,AUD c/kg
30/06/2021 0:00,Pork,1290.821863,AUD c/kg
30/09/2021 0:00,Beef,2479.657635,AUD c/kg
30/09/2021 0:00,Chicken,569.0900878,AUD c/kg
30/09/2021 0:00,Lamb,1860.28278,AUD c/kg
30/09/2021 0:00,Pork,1295.052925,AUD c/kg
31/12/2021 0:00,Beef,2487.411412,AUD c/kg
31/12/2021 0:00,Chicken,559.1713744,AUD c/kg
31/12/2021 0:00,Lamb,1853.867477,AUD c/kg
31/12/2021 0:00,Pork,1312.531768,AUD c/kg
31/03/2022 0:00,Beef,2676.76744,AUD c/kg
31/03/2022 0:00,Chicken,588.9513487,AUD c/kg
31/03/2022 0:00,Lamb,1983.452011,AUD c/kg
31/03/2022 0:00,Pork,1348.16035,AUD c/kg
30/06/2022 0:00,Beef,2706.211882,AUD c/kg
30/06/2022 0:00,Chicken,598.3745703,AUD c/kg
30/06/2022 0:00,Lamb,2122.293652,AUD c/kg
30/06/2022 0:00,Pork,1341.419549,AUD c/kg
30/09/2022 0:00,Beef,2711.624305,AUD c/kg
30/09/2022 0:00,Chicken,617.5225566,AUD c/kg
30/09/2022 0:00,Lamb,2092.581541,AUD c/kg
30/09/2022 0:00,Pork,1344.102388,AUD c/kg
31/12/2022 0:00,Beef,2703.489433,AUD c/kg
31/12/2022 0:00,Chicken,624.3153047,AUD c/kg
31/12/2022 0:00,Lamb,2040.267002,AUD c/kg
31/12/2022 0:00,Pork,1375.016743,AUD c/kg
31/03/2023 0:00,Beef,2698.082454,AUD c/kg
31/03/2023 0:00,Chicken,631.8070883,AUD c/kg
31/03/2023 0:00,Lamb,2064.750206,AUD c/kg
31/03/2023 0:00,Pork,1401.142061,AUD c/kg
